Approved Symbol	Synonyms	UniProt ID(supplied by UniProt)
AVPR1A		P37288
AVPR1B		P47901
AVPR2	V2R	P30518
AXIN1	PPP1R49	O15169
AXIN2	MGC126582, DKFZp781B0869	Q9Y2T1
AXL	UFO, JTK11	P30530
AZF1	AZFa	
AZGP1	ZA2G, ZAG	P25311
AZGP1P1		
AZGP1P2		
AZU1	AZU, CAP37, AZAMP, HBP, NAZC, HUMAZUR	P20160
B2M		P61769
B2MR		
B3GALT1	beta3Gal-T1	Q9Y5Z6
B3GALT2	beta3Gal-T2	O43825
B3GALNT1	beta3Gal-T3, galT3, P1, GLOB	O75752
B3GALT4	beta3Gal-T4, GalT4	O96024
B3GALT5	beta3Gal-T5, B3GalT-V, GLCT5, B3T5	Q9Y2C3
B3GAT1	GlcAT-P, HNK-1, NK-1	Q9P2W7
B3GAT2	GlcAT-S	Q9NPZ5
B3GAT3	GlcAT-I	O94766
B4GALT1	beta4Gal-T1	P15291
B4GALT2	beta4Gal-T2	O60909
B4GALT3	beta4Gal-T3	O60512
B4GALT4	beta4Gal-T4	O60513
B4GALT5	beta4GalT-V	O43286
B4GALT6	beta4GalT-VI	Q9UBX8
B4GALT7	XGALT-1, beta4Gal-T7	Q9UBV7
BAAT	BAT	Q14032
BACE1		P56817
BACE2	CEAP1, DRAP, ALP56	Q9Y5Z0
BACH1	BACH-1, BTBD24	O14867
BAD	BCL2L8, BBC2	Q92934
BAG1		Q99933
BAG2		O95816
BAG3		O95817
BAG4	SODD	O95429
BAG5		Q9UL15
BAGE	CT2.1, BAGE1	Q13072
BAI1		O14514
BAI2		O60241
BAI3	KIAA0550	O60242
MAGI1	BAP1, MAGI-1, TNRC19, AIP3, WWP3	Q96QZ7
BAIAP2	BAP2	Q9UQB8
BAIAP3	BAP3, KIAA0734	O94812
BAK1	BCL2L7, BAK	Q16611
BAP1	hucep-6, KIAA0272, UCHL2	Q92560
NKX3-2	NKX3B, NKX3.2	P78367
BARD1		Q99728
BARHL1		Q9BZE3
BARHL2		Q9NY43
BARX1		Q9HBU1
BARX2		Q9UMQ3
BASP1	NAP-22, NAP22, CAP23, CAP-23	P80723
BATF	B-ATF, SFA-2, BATF1	Q16520
BAX	BCL2L4	Q07812
BAZ1A	hACF1, ACF1, WALp1, WCRF180	Q9NRL2
BAZ1B	WSTF	Q9UIG0
BAZ2A	KIAA0314, TIP5, WALp3	Q9UIF9
BAZ2B	WALp4	Q9UIF8
BBOX1	gamma-BBH, G-BBH, BBH	O75936
BBS1	FLJ23590	Q8NFJ9
BBS2		Q9BXC9
BBS4		Q96RK4
